2025-02-11 09:17:29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-11 09:17:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-11 09:17:29 [main] INFO  o.a.c.c.C.[.[.[/identity_service] - Initializing Spring embedded WebApplicationContext
2025-02-11 09:17:29 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1330 ms
2025-02-11 09:17:29 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-11 09:17:29 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-02-11 09:17:29 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-02-11 09:17:30 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-11 09:17:30 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-11 09:17:30 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e10a320
2025-02-11 09:17:30 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-11 09:17:31 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-02-11 09:17:31 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:17:32 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-02-11 09:17:32 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-02-11 09:17:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18f6ccf4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@72dc9f9d, org.springframework.security.web.context.SecurityContextHolderFilter@52a1d6f, org.springframework.security.web.header.HeaderWriterFilter@f2120d5, org.springframework.web.filter.CorsFilter@2f403d0a, org.springframework.security.web.authentication.logout.LogoutFilter@2762e9a7, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@4e6f3d08, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6c96e1d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@58e9375b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@45ec6bb3, org.springframework.security.web.access.ExceptionTranslationFilter@48332a63, org.springframework.security.web.access.intercept.AuthorizationFilter@1bd98c48]
2025-02-11 09:17:33 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-11 09:17:33 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/identity_service'
2025-02-11 09:17:33 [main] INFO  c.e.i.IdentityServiceApplication - Started IdentityServiceApplication in 5.712 seconds (process running for 6.523)
2025-02-11 09:17:48 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[.[.[/identity_service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-11 09:17:48 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-02-11 09:17:48 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-02-11 09:28:26 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:28:26 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-11 09:28:26 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-11 09:28:36 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-11 09:28:36 [main] INFO  c.e.i.IdentityServiceApplication - Starting IdentityServiceApplication using Java 23.0.2 with PID 19916 (C:\Code\Java\identity_service\target\classes started by Duong in C:\Code\Java\identity_service)
2025-02-11 09:28:36 [main] INFO  c.e.i.IdentityServiceApplication - The following 1 profile is active: "prod"
2025-02-11 09:28:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-11 09:28:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 116 ms. Found 12 JPA repository interfaces.
2025-02-11 09:28:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-11 09:28:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-11 09:28:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-11 09:28:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-11 09:28:38 [main] INFO  o.a.c.c.C.[.[.[/identity_service] - Initializing Spring embedded WebApplicationContext
2025-02-11 09:28:38 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1886 ms
2025-02-11 09:28:38 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-11 09:28:38 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-02-11 09:28:38 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-02-11 09:28:38 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-11 09:28:38 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-11 09:28:39 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7962a746
2025-02-11 09:28:39 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-11 09:28:40 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-02-11 09:28:41 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:28:41 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-02-11 09:28:42 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-02-11 09:28:42 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7952348f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4f3d49e4, org.springframework.security.web.context.SecurityContextHolderFilter@36a65069, org.springframework.security.web.header.HeaderWriterFilter@2026af0, org.springframework.web.filter.CorsFilter@19565b5, org.springframework.security.web.authentication.logout.LogoutFilter@59e02113, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@4ebf82d9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b8e2ea7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6b994b71, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d26b390, org.springframework.security.web.access.ExceptionTranslationFilter@280d1d8d, org.springframework.security.web.access.intercept.AuthorizationFilter@3e6a55fb]
2025-02-11 09:28:42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-11 09:28:42 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/identity_service'
2025-02-11 09:28:42 [main] INFO  c.e.i.IdentityServiceApplication - Started IdentityServiceApplication in 7.532 seconds (process running for 8.506)
2025-02-11 09:28:51 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:28:51 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-11 09:28:51 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-11 09:28:55 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-11 09:28:55 [main] INFO  c.e.i.IdentityServiceApplication - Starting IdentityServiceApplication using Java 23.0.2 with PID 28032 (C:\Code\Java\identity_service\target\classes started by Duong in C:\Code\Java\identity_service)
2025-02-11 09:28:55 [main] INFO  c.e.i.IdentityServiceApplication - The following 1 profile is active: "prod"
2025-02-11 09:28:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-11 09:28:56 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85 ms. Found 12 JPA repository interfaces.
2025-02-11 09:28:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-11 09:28:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-11 09:28:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-11 09:28:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2025-02-11 09:28:57 [main] INFO  o.a.c.c.C.[.[.[/identity_service] - Initializing Spring embedded WebApplicationContext
2025-02-11 09:28:57 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1378 ms
2025-02-11 09:28:57 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-11 09:28:57 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-02-11 09:28:57 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-02-11 09:28:57 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-11 09:28:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-11 09:28:57 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6cc90398
2025-02-11 09:28:57 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
